environment,instance,algorithm_description,solution_cost,nodes_expanded,nodes_generated,total_time_ms,memory_peak_kb,count_enqueue,time_enqueue_ns,count_dequeue,time_dequeue_ns,count_rebuild,time_rebuild_ns,count_decrease_key,time_decrease_key_ns,count_stale_pops,count_update_pushes,wasted_time_ns,total_overhead_ns,instance_number
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6159609,9467789,700.703,2588944,9467790,182510000.0,6159609,107540000.0,0,0.0,0,0.0,0,2895836,0.0,290050000.0,42
grid,2,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,340690256,348854193,36258.8,2588944,348854194,7050280000.0,348854194,6493190000.0,604,3186460.0,0,0.0,7880009,342005942,146670000.0,13546700000.0,43
grid,2,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6159609,9467789,682.035,2588944,9467790,179059000.0,6159609,105730000.0,0,0.0,0,0.0,0,2895836,0.0,284790000.0,44
grid,2,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,324964784,331793883,34267.6,2588944,331793884,6655960000.0,331793884,6107010000.0,536,2906210.0,0,0.0,6651715,324931670,122432000.0,12765900000.0,45
grid,3,A* with IndexedHeap (D=2),19998,6803109,10454173,1936.94,2592664,7255681,726559000.0,6803109,511205000.0,0,0.0,3198493,203902000.0,0,3198493,0.0,1441670000.0,46
grid,3,ANA* with IndexedHeap (D=2),19998,600988681,613631649,107569.0,2592664,601080955,30565900000.0,601080955,39468600000.0,624,466091000.0,12550695,628554000.0,0,605915710,0.0,71129200000.0,47
grid,3,ANA* with BucketHeap (D=2),19998,546459082,556219102,76053.6,2592664,556219103,13873800000.0,556219103,23002600000.0,709,8646700.0,0,0.0,9649807,549169255,399071000.0,36885100000.0,48
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,5800448,8912811,688.392,2592664,8912812,173970000.0,5800448,123971000.0,0,0.0,0,0.0,0,2724222,0.0,297941000.0,49
grid,3,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,546333068,556095871,76832.1,2592664,556095872,15182900000.0,556095872,22330000000.0,709,9278070.0,0,0.0,9652625,549048405,387600000.0,37522100000.0,50
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,5800448,8912811,644.12,2592664,8912812,166419000.0,5800448,100304000.0,0,0.0,0,0.0,0,2724222,0.0,266723000.0,51
grid,3,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,390708387,401172767,43504.7,2592664,401172768,8676540000.0,401172768,8432950000.0,722,5408340.0,0,0.0,10096922,394496069,212245000.0,17114900000.0,52
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,5800448,8912811,642.529,2592664,8912812,166789000.0,5800448,99454400.0,0,0.0,0,0.0,0,2724222,0.0,266243000.0,53
grid,3,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,342252762,350870198,37087.7,2592664,350870199,7294350000.0,350870199,6924490000.0,588,4062590.0,0,0.0,8439238,344174912,166550000.0,14222900000.0,54
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,5800448,8912811,639.939,2592664,8912812,165800000.0,5800448,98421600.0,0,0.0,0,0.0,0,2724222,0.0,264221000.0,55
grid,3,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,326715072,335006028,34934.5,2592664,335006029,6804470000.0,335006029,6362840000.0,607,3777260.0,0,0.0,8025032,328298838,152421000.0,13171100000.0,56
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,5800448,8912811,651.316,2592664,8912812,169015000.0,5800448,100769000.0,0,0.0,0,0.0,0,2724222,0.0,269783000.0,57
grid,3,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,301366014,308430995,32516.2,2592664,308430996,6309640000.0,308430996,5839230000.0,418,2561460.0,0,0.0,6791316,301974439,128574000.0,12151400000.0,58
grid,3,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,5800448,8912811,674.588,2592664,8912812,174113000.0,5800448,103685000.0,0,0.0,0,0.0,0,2724222,0.0,277798000.0,59
grid,3,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,328729572,334612776,35535.1,2592664,334612777,6886770000.0,334612777,6326810000.0,514,3096750.0,0,0.0,5508046,327891892,104145000.0,13216700000.0,60
grid,4,A* with IndexedHeap (D=2),19998,6373927,9793227,1862.1,2592664,6798770,726042000.0,6373927,480153000.0,0,0.0,2994458,194509000.0,0,2994458,0.0,1400700000.0,61
grid,4,ANA* with IndexedHeap (D=2),19998,646781487,658833016,113515.0,2592664,646854375,32265700000.0,646854375,41586000000.0,839,521469000.0,11978642,582071000.0,0,651566575,0.0,74955300000.0,62
grid,4,ANA* with BucketHeap (D=2),19998,633973861,645646267,87398.0,2592664,645646268,15945000000.0,645646268,26361500000.0,756,9913600.0,0,0.0,11532095,638345162,470851000.0,42316300000.0,63
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6282871,9656577,726.729,2592664,9656578,182952000.0,6282871,130437000.0,0,0.0,0,0.0,0,2953579,0.0,313388000.0,64
grid,4,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,633974618,645647257,88794.3,2592664,645647258,17578200000.0,645647258,25740900000.0,756,10647200.0,0,0.0,11532317,638346149,459774000.0,43329700000.0,65
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6282871,9656577,700.352,2592664,9656578,181587000.0,6282871,109223000.0,0,0.0,0,0.0,0,2953579,0.0,290810000.0,66
grid,4,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,465182002,475294329,52893.8,2592664,475294330,10547100000.0,475294330,10233800000.0,673,6025740.0,0,0.0,9962876,468289505,214515000.0,20786900000.0,67
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6282871,9656577,760.383,2592664,9656578,197464000.0,6282871,116449000.0,0,0.0,0,0.0,0,2953579,0.0,313914000.0,68
grid,4,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,400650304,410720101,44678.4,2592664,410720102,8774610000.0,410720102,8310660000.0,692,5084360.0,0,0.0,9888808,403709387,200094000.0,17090400000.0,69
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6282871,9656577,704.858,2592664,9656578,185740000.0,6282871,108707000.0,0,0.0,0,0.0,0,2953579,0.0,294447000.0,70
grid,4,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,369468491,377965975,39439.2,2592664,377965976,7674540000.0,377965976,7145180000.0,696,4152050.0,0,0.0,8301169,370958664,156928000.0,14823900000.0,71
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6282871,9656577,697.18,2592664,9656578,181951000.0,6282871,106654000.0,0,0.0,0,0.0,0,2953579,0.0,288605000.0,72
grid,4,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,361750255,370119149,38411.3,2592664,370119150,7431760000.0,370119150,6890240000.0,578,3384070.0,0,0.0,8126478,363110572,151285000.0,14325400000.0,73
grid,4,"A* with AggregatedTwoLevelBucketQueue (a=200, b=1)",19998,6282871,9656577,691.905,2592664,9656578,178760000.0,6282871,106109000.0,0,0.0,0,0.0,0,2953579,0.0,284869000.0,74
grid,4,"ANA* with RealBucketHeap (a=200, b=1, D=2)",19998,356294647,362286088,37414.9,2592664,362286089,7231450000.0,362286089,6671800000.0,602,3291130.0,0,0.0,5797731,355277922,106770000.0,13906500000.0,75
grid,5,A* with IndexedHeap (D=2),19998,6668415,10246523,1914.33,2598400,7112424,733351000.0,6668415,506605000.0,0,0.0,3134100,198240000.0,0,3134100,0.0,1438200000.0,76
grid,5,ANA* with IndexedHeap (D=2),19998,626071563,637692265,109250.0,2598616,626164880,31189700000.0,626164880,40079500000.0,452,320205000.0,11527386,563112000.0,0,630107599,0.0,72152500000.0,77
grid,5,ANA* with BucketHeap (D=2),19998,605803036,617708675,84220.7,2598616,617708676,15314000000.0,617708676,25047800000.0,668,8833690.0,0,0.0,11755203,610631694,476669000.0,40370700000.0,78
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=1, b=1)",19998,6184885,9506432,742.255,2598616,9506433,184380000.0,6184885,132182000.0,0,0.0,0,0.0,0,2907719,0.0,316562000.0,79
grid,5,"ANA* with RealBucketHeap (a=1, b=1, D=2)",19998,600222283,612071721,84992.4,2598616,612071722,16727700000.0,612071722,24317400000.0,665,9633780.0,0,0.0,11698799,604994773,464789000.0,41054700000.0,80
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=25, b=1)",19998,6184885,9506432,690.15,2598616,9506433,177765000.0,6184885,106852000.0,0,0.0,0,0.0,0,2907719,0.0,284617000.0,81
grid,5,"ANA* with RealBucketHeap (a=25, b=1, D=2)",19998,458421656,469361131,51703.0,2598616,469361132,10200200000.0,469361132,9930990000.0,822,6517090.0,0,0.0,10729417,462426004,227019000.0,20137700000.0,82
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=50, b=1)",19998,6184885,9506432,695.172,2598616,9506433,178484000.0,6184885,106577000.0,0,0.0,0,0.0,0,2907719,0.0,285061000.0,83
grid,5,"ANA* with RealBucketHeap (a=50, b=1, D=2)",19998,402784175,412850971,44108.0,2598616,412850972,8577620000.0,412850972,8120800000.0,759,5033330.0,0,0.0,9798529,405942280,192738000.0,16703500000.0,84
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=100, b=1)",19998,6184885,9506432,676.202,2598616,9506433,175566000.0,6184885,104549000.0,0,0.0,0,0.0,0,2907719,0.0,280115000.0,85
grid,5,"ANA* with RealBucketHeap (a=100, b=1, D=2)",19998,364674237,372732706,38811.1,2598616,372732707,7572680000.0,372732707,7068280000.0,694,3937980.0,0,0.0,7903064,365833379,149869000.0,14644900000.0,86
grid,5,"A* with AggregatedTwoLevelBucketQueue (a=150, b=1)",19998,6184885,9506432,705.11,2598616,9506433,185244000.0,6184885,109099000.0,0,0.0,0,0.0,0,2907719,0.0,294343000.0,87
grid,5,"ANA* with RealBucketHeap (a=150, b=1, D=2)",19998,367075057,375088977,38959.8,2598616,375088978,7582800000.0,375088978,7024060000.0,615,3363280.0,0,0.0,7484650,368184473,140160000.0,14610200000.0,88
